count	id	species1_id	species1_term	species1_form	species2_id	species2_term	species2_form	interaction_id	interaction_term	interaction_form	docs_count	passages_count	rank	doc_id	doc_score	passage_score	triplet_score	sentence	field	evaluation_species_identified	evaluation_pair_interacting	comment
65	12614;ROBI_000003	1059232	Etmopterus spinax	Etmopterus spinax|velvet belly lanternshark	5477979	Aporhynchus menezesi	Aporhynchus menezesi	ROBI_000003	parasite-host	parasite of	2	3	1	23026088	1.1958333333333333	0.61875	1.8145833333333328	Ultrastructure of vitellogenesis and vitellocytes in the trypanorhynch cestode Aporhynchus menezesi, a parasite of the velvet belly lanternshark Etmopterus spinax.	title	1	1	
66	373841;ROBI_000072	352914	Fungi	fungi	373841	Cyathea	Martius	ROBI_000072	host	host	1	1	1	27819729	0.7775	0.7775	0.7775	At Universidade Estadual de MaringÃ¡ Laboratory of Microbial Biotechnology, approximately 500 isolates of endophytic fungi have been studied over the last decade from various host plants, including medicinally and economically important species, such as Luehea divaricata (Martius et Zuccarini), Trichilia elegans A. Juss, Sapindus saponaria L., Piper hispidum Swartz, and Saccharum spp.	abstract	0	0	
67	561341;ROBI_000313	4460549	Simulium pertinax	Simulium pertinax	561341	Polydispyrenia simulii	Polydispyrenia simulii	ROBI_000314	infects	infection	1	1	1	10348994	0.5695833333333333	0.5695833333333333	0.5695833333333333	The effects of the infection caused by the microsporidium Polydispyrenia simulii in gonads of the simuliid Simulium pertinax were evaluated.	abstract	1	1	
68	242863;ROBI_000001	242863	Sycoryctes	Sycoryctes	996544	Arachonia	Arachonia	ROBI_000205	parasitoid	parasitoid	1	1	1	20554053	0.5315625	0.5315625	0.5315625	Ancestral state reconstructions of (i) affiliate Ficus subsection and (ii) syconia diameters of natal Ficus species indicate contrasting Ficus species ranges between Arachonia and Sycoryctes parasitoid genera.	abstract	1	0	2 parasitoides de la meme espce
69	1022514;ROBI_000200	414404	Battus philenor	Battus philenor|pipevine swallowtail	9821	Aristolochia	Aristolochia	ROBI_000201	predator	feed on	3	3	1	16365708	0.8733333333333334	0.8733333333333334	1.9804166666666667	Larvae of the pipevine swallowtail, Battus philenor, feed on plants in the genus Aristolochia, which contains aristolochic acids, toxic alkaloids unique to the Aristolochiaceae.	abstract	1	1	relation: mange les feuilles, mais ne sont pas prdateurs
70	353234;ROBI_000072	353234	Arctia caja	garden tiger moth|Arctia caja	588867	Acherontia atropos	Acherontia atropos	ROBI_000072	host	host	1	1	1	36990229	0.5562499999999999	0.5562499999999999	0.5562499999999999	In the present study, three moth species, the garden tiger moth, Arctia caja, the death hawk moth, Acherontia atropos, and the oleander hawk moth, Daphnis nerii, were tested whether they sequester alkaloids from their host plants.	abstract	1	0	2 espces sur la meme plante
71	588528;ROBI_000072	549105	Phyllodes	phyllodes	588528	Vachellia farnesiana	Acacia farnesiana	ROBI_000072	host	hosts	1	1	1	28311044	0.4825	0.4825	0.4825	With one exception (Acacia farnesiana with deciduous leaves), the hosts were trees or shrubs with evergreen, sclerophyllous leaves or phyllodes.The measurements confirm previous observations that mistletoes transpire at higher rates than their hosts.	abstract	0	0	pas une espce
72	775740;ROBI_000072	681762	Glycine max	soybean|Glycine max	740156	Phytophthora sojae	Phytophthora megasperma f. sp. glycinea	ROBI_000072	host	host	17	17	1	3963819	0.8333333333333334	0.8333333333333334	9.418392857142855	Primary roots of soybean [Glycine max (L.), cv Harosoy 63] seedlings were inoculated with zoospores from either race 1 (incompatible, host resistant) or race 3 (compatible, host susceptible) of Phytophthora megasperma f. sp. glycinea (Pmg) and the activities of phenylalanine ammonia-lyase (PAL), chalcone synthase (CHS), isoflavone synthase, and dihydroxypterocarpan 6a-hydroxylase related to phytoalexin (glyceollin) biosynthesis, and of glucose-6-phosphate dehydrogenase (Glc-6-PDH) and glutamate dehydrogenase (Glu-DH) were determined at various times after inoculation.	abstract	1	1	
73	4167979;ROBI_000003	4167979	Cystocaulus ocreatus	Cystocaulus ocreatus	569852	Protostrongylus rufescens	Protostrongylus rufescens	ROBI_000314	infects	infections	3	3	1	20445790	0.884375	0.884375	2.028125	Muellerius capillaris, M. tenuispiculatus, Cystocaulus ocreatus, Neostrongylus linearis, and Protostrongylus brevispiculum infections were predominantly associated with nodular lesions, and Protostrongylus rufescens, Protostrongylus hobmaieri and Protostrongylus rupicaprae were associated with extensive lesions located mainly along the length of the large bronchi.	abstract	1	0	2 nmatodes parasites
74	74134;ROBI_000205	622295	Phyllocnistis citrella	Phyllocnistis citrella	74134	Cirrospilus vittatus	Cirrospilus vittatus	ROBI_000206	ectoparasitoid	ectoparasitoid of	1	1	1	12019997	0.615	0.615	0.615	Effect of temperature on life history of Cirrospilus vittatus (Hymenoptera: Eulophidae), an ectoparasitoid of Phyllocnistis citrella (Lepidoptera: Gracillariidae).	title	1	1	
75	197556;ROBI_000072	197556	Baylisascaris columnaris	Baylisascaris columnaris	870349	Toxocara canis	Toxocara canis	ROBI_000072	host	host	2	2	1	15815147	0.563125	0.563125	1.0614583333333334	In an effort to raise awareness and to better understand the risk of acquiring visceral larva migrans in south central Connecticut, this environmental survey was conducted to determine the prevalence of ascarid ova (Toxocara canis, Toxocara cati, Baylisascaris columnaris, and Baylisascaris procyonis) in public areas of Wallingford, Connecticut, to compare prevalence levels among these public areas, and to determine what host species are primarily responsible for environmental contamination.	abstract	1	0	2 parasites
76	53067;ROBI_000001	167675	Conidiobolus coronatus	Conidiobolus coronatus	599108	Dicyrtoma	Dicyrtoma	ROBI_000072	host	hosts	1	1	1	12009804	0.8551562500000001	0.8551562500000001	0.8551562500000001	Additionally, infection with the facultative pathogen Conidiobolus coronatus was recorded from several hosts representing both the subclass Arthropleona (Isotoma anglicana and O. cincta) and the subclass Symphypleona (Dicyrtoma sp. and S. viridis).	abstract	1	1	
77	4671989;ROBI_000200	331161	Odontaster validus	Odontaster validus	4671993	Cheirimedon femoratus	Cheirimedon femoratus	ROBI_000201	predator	predators	4	4	1	24221581	0.5695833333333333	0.5695833333333333	2.2444791666666664	The Antarctic sea star Odontaster validus and the amphipod Cheirimedon femoratus are important predators in benthic communities.	abstract	1	0	peut etre? Niche ecologique similaire
78	576474;ROBI_000007	1081895	Calystegia soldanella	Calystegia soldanella	587697	Calystegia hederacea	C. hederacea	ROBI_000012	pollinates	pollinator	1	1	1	10077505	0.494375	0.494375	0.494375	Calystegia soldanella, C. hederacea, and C. japonica are self-incompatible, while C. sepium is self-compatible but needs pollinator services for self-pollination.	abstract	1	0	peut etre indirect en partageant des pollinators
79	146411;ROBI_000001	146411	Zephyranthes	Rainlily	4689436	Vinathela hongkong	Hong Kong	ROBI_000037	neutralize	stop	1	1	1	27779096	0.7295833333333334	0.7295833333333334	0.7295833333333334	INTRODUCTION Rainlily, the first one-stop crisis centre in Hong Kong, was set up in 2000 to protect female victims of sexual violence.	abstract	0	0	rien  voir
80	970372;ROBI_000200	190899	Anser sp.	goose	970372	Anser brachyrhynchus	Anser brachyrhynchus	ROBI_000203	hunts	hunting	1	1	1	34185252	0.796875	0.796875	0.796875	In this study we present a situation where local goose hunting arrangements respond to objectives in an international management plan for pink-footed geese (Anser brachyrhynchus) and a local wish to reduce goose numbers as means to reduce grazing damage on farmland.	abstract	1	0	meme espce
81	4994949;ROBI_000003	383159	Phymaturus extrilidus	Phymaturus extrilidus	4994949	Parapharyngodon riojensis	Parapharyngodon riojensis	ROBI_000314	infects	infection	1	2	1	29983018	1.1983333333333333	0.62	1.1983333333333333	Pattern of infection with Parapharyngodon riojensis Ramallo, Bursey, Goldberg 2002 (Nematoda: Pharyngodonidae) in the lizard Phymaturus extrilidus from Puna region, Argentina	title	1	1	
82	222037;ROBI_000003	222037	Tupaia tana	Tupaia tana	48333	Cryptococcus neoformans	Cryptococcus neoformans	ROBI_000314	infects	infections	1	1	1	9279407	0.5633333333333334	0.5633333333333334	0.5633333333333334	Fungal infections due to Cryptococcus neoformans occurred in seven short-eared elephant shrews (Macroscelides proboscides), six large tree shrews (Tupaia tana), and five lesser tree shrews (Tupaia minor) at the National Zoological Park during a 30-mo period in 1991-1993.	abstract	1	1	
83	725878;ROBI_000200	1004107	Eriogonum arborescens	Eriogonum arborescens	725878	Artemisia californica	Artemisia californica	ROBI_000204	grazes	grazing	1	1	1	21560677	0.565	0.565	0.565	The introduction of exotic grasses and grazing to Santa Cruz Island, California, USA, converted native shrublands (dominated by Artemisia californica and Eriogonum arborescens) into exotic-dominated grasslands (dominated by Avena barbata) over a century ago, altering nutrient-cycling regimes.	abstract	1	0	mais meme zone gographique
84	171738;ROBI_000003	171738	Chelon tricuspidens	striped mullet	3669419	Metamicrocotyla macracantha	Metamicrocotyla macracantha	ROBI_000003	parasite-host	parasite of	2	3	1	18320224	1.3733333333333335	0.55125	1.924583333333333	Metamicrocotyla macracantha, a polyopisthocotylid gill parasite of the striped mullet, Mugil cephalus: population dynamics in South Carolina estuaries.	title	0	0	synonyme != espce indique
85	3302169;ROBI_000205	1029403	Prokelisia crocea	Prokelisia crocea	3302169	Anagrus columbi	Anagrus columbi	ROBI_000205	parasitoid	parasitoid	2	2	1	15095088	0.868125	0.868125	1.73625	In this study, I carried out a census of planthopper (Prokelisia crocea; Hemiptera: Delphacidae) and egg parasitoid (Anagrus columbi; Hymenoptera: Mymaridae) incidence and densities in 147 host-plant patches (Spartina pectinata; Poaceae) over seven planthopper generations in a tall-grass prairie landscape.	abstract	1	1	
86	1075153;ROBI_000001	1075153	Pterois volitans	red lionfish|Pterois volitans	674650	Chromis viridis	Chromis viridis	ROBI_000202	preys	prey	2	2	1	35919997	0.8637499999999999	0.8637499999999999	1.3439285714285714	Using kinematic measurements, we considered the strategy of red lionfish (Pterois volitans) as they pursued a faster prey fish (Chromis viridis) under laboratory conditions.	abstract	1	1	
87	350099;ROBI_000200	350099	Ursus arctos horribilis	Ursus arctos horribilis	70827	Tragelaphus strepsiceros	greater kudu|Tragelaphus strepsiceros	ROBI_000210	feces	feces	1	1	1	6315660	0.5712499999999999	0.5712499999999999	0.5712499999999999	Rotavirus was detected in the feces of 20 (57%) of 35 of the animals, which included addax (Addax nasomaculatus), nyala (Tragelaphus angasi), saiga (Saiga tatarica), white-tailed gnu (Connochaetus gnou), greater kudu (Tragelaphus strepsiceros), sitatunga (Tragelaphus spekei), Grant's gazelle (Gazella granti roosevelti), sable antelope (Hippotragus niger niger), kob (Kobus kob leucotis), pygmy marmoset (Callithrix pygmaea), bush dog (Speothos venaticus), grizzly bear (Ursus arctos horribilis), and red kangaroo (Megaleia rufa).	abstract	1	0	
88	785970;ROBI_000001	3666045	Euhaplorchis	Euhaplorchis	785970	Fundulus similis	longnose killifish|Fundulus similis	ROBI_000314	infects	infected with	1	1	1	22559287	0.5499999999999999	0.5499999999999999	0.5499999999999999	In this study we used laboratory observations to investigate the behavior of longnose killifish, Fundulus similis, that were naturally infected with metacercariae of the trematode, Euhaplorchis sp. A, from Laguna Madre, south Texas.	abstract	1	1	
89	334010;ROBI_000313	181218	Aeromonas salmonicida	Aeromonas salmonicida	334010	Pichia membranifaciens	Pichia membranifaciens	ROBI_000314	infects	infection	1	1	1	21685718	0.92875	0.92875	0.92875	Protection against atypical Aeromonas salmonicida infection in common carp, Cyprinus carpio L., by oral administration of a mixed microbial culture of Lactobacillus paracasei, Pichia membranifaciens and Saccharomyces cereviciae.	title	1	1	la relation est de contrer l'infection
90	155919;ROBI_000200	155919	Buteo regalis	Buteo regalis	944695	Athene cunicularia	Athene cunicularia	ROBI_000202	preys	Prey	1	1	1	9950702	0.5595833333333333	0.5595833333333333	0.5595833333333333	/ Between 1991 and 1994, we assessed relative abundance, nesting success, and distribution of ferruginous hawks (Buteo regalis), northern harriers (Circus cyaneus), burrowing owls (Athene cunicularia), and short-eared owls (Asio flammeus) inside and outside a military training site in the Snake River Birds of Prey National Conservation Area, southwestern Idaho.	abstract	1	0	mais peut etre partage de ressource
91	512185;ROBI_000072	216671	Pseudomonas aeruginosa	Pseudomonas aeruginosa	512185	Swietenia macrophylla	Swietenia macrophylla	ROBI_000072	host	host	1	1	1	22193176	0.5579166666666666	0.5579166666666666	0.5579166666666666	Collectively, these findings strongly suggest the presence of compounds within Swietenia macrophylla seed that either reduces Pseudomonas aeruginosa virulence and/or enhance host resistance.	abstract	1	1	reductionde la virulance
92	306792;ROBI_000202	306792	Isoodon macrourus	Isoodon macrourus	794938	Rattus sordidus	Rattus sordidus	ROBI_000202	preys	prey	1	1	1	29152188	0.5478125	0.5478125	0.5478125	The most significant prey species were northern brown bandicoots (Isoodon macrourus), canefield rats (Rattus sordidus), and agile wallabies (Macropus agilis).	abstract	1	0	2 espces de proies
93	268740;ROBI_000072	268740	Cyclodontostomum purvisi	Cyclodontostomum purvisi	889045	Murinae	Murinae	ROBI_000072	host	host	1	1	1	8064538	0.8581944444444445	0.8581944444444445	0.8581944444444445	Cyclodontostomum purvisi seems to have a wide host range in the Murinae, being distributed widely in the area from India to Australia.	abstract	1	1	
94	605194;ROBI_000313	285447	Ustilago maydis	Ustilago maydis	605194	Zea mays	Zea mays	ROBI_000314	infects	infection	20	23	1	18194146	janv.75	0.90375	16.468950667388167	Effects of host plant environment and Ustilago maydis infection on the fungal endophyte community of maize (Zea mays).	title	1	1	
95	1019207;ROBI_000200	7117334	Macropipus	Macropipus	780760	Micromesistius poutassou	Micromesistius poutassou	ROBI_000202	preys	preys	1	1	1	38003791	0.5503125	0.5503125	0.5503125	Moreover, some fish and decapode species were also observed as part of the host's diet, with the most detected preys being Micromesistius poutassou, Sardina pilchardus, Macropipus sp., and Goneplax rhomboides.	abstract	1	0	2 espces de proies
96	147975;ROBI_000200	147975	Plecoptera	Plecoptera	457402	Trichoptera	Trichoptera	ROBI_000201	predator	predator	4	4	1	30783561	0.5366666666666666	0.5366666666666666	2.137839556277056	Notwithstanding the stable conditions of almost all hydrological and physico-chemical parameters, we found significant temporal differences in (i) % of mass loss of poplar leaves (ii) number of Ephemeroptera, Plecoptera and Trichoptera taxa, (iii) shredder and predator densities.	abstract	1	0	interaction peut etre par rapprot  l'habitat
97	394660;ROBI_000200	394660	Chrysomela vigintipunctata	Chrysomela vigintipunctata	530183	Salicaceae	Salicaceae	ROBI_000201	predator	feed on	1	1	1	11925070	0.873125	0.873125	0.873125	Salicylaldehyde is the major repellent component of secretions emitted by larvae of Chrysomela vigintipunctata and C. lapponica, which feed on salicin-rich Salicaceae.	abstract	1	1	relation: mange les feuilles, mais ne sont pas prdateurs
98	3317089;ROBI_000001	315327	Agrilus planipennis	emerald ash borer|Agrilus planipennis	3318261	Oobius agrili	Oobius agrili	ROBI_000205	parasitoid	parasitoid	3	5	1	33377167	1.2964583333333333	0.8733333333333334	3.259791666666666	In North America, the emerald ash borer, Agrilus planipennis Fairmaire (Coleoptera: Buprestidae), continues to spread, and its egg parasitoid, Oobius agrili Zhang and Huang (Hymenoptera: Encyrtidae), is being released for emerald ash borer biocontrol well beyond their endemic climatic ranges in China.	abstract	1	1	
99	514975;ROBI_000072	514975	Abelmoschus esculentus	okra	854480	Gossypium hirsutum	cotton	ROBI_000072	host	host	12	13	1	28893328	0.7880208333333334	0.3953125	5.446979166666667	The two aphid populations were exposed to seven plant species (cotton, okra, watermelon, squash, cucumber, pigweed, and morning glory), and evaluated for their host utilization plasticity by estimating aphid's fitness parameters (nymphal period, adult period, fecundity, and intrinsic rate of increase).	abstract	1	0	2 espces hotes de la meme espce
100	224064;ROBI_000200	224064	Carlina acaulis	Carlina acaulis	775023	Neoseiulus californicus	Neoseiulus californicus	ROBI_000201	predator	predatory	1	1	1	37822147	0.8724999999999999	0.8724999999999999	0.8724999999999999	Accordingly, we investigated the lethal and sublethal effects of carlina oxide isolated from Carlina acaulis (Asteraceae) roots on T. urticae and its natural enemy, the predatory mite, Neoseiulus californicus (McGregor).	abstract	1	1	il y a une interaction mais via une autre espce
